업체명,공장사업장주소,위도,경도
금성개발(주),충청남도 예산군 덕산면 홍덕서로 505 ,36.630596,126.612524
부여아스콘(유),충청남도 부여군 초촌면 응신길 280 ,36.285471,126.998465
신동아스콘(주),충청남도 천안시 서북구 성거읍 신월소우길 187,36.871432,127.166583
삼강아스콘(주),충청남도 천안시 서북구 입장면 도림길 70,36.917955,127.242465
(주)제일,충청남도 태안군 근흥면 서해로 1257-13 ,36.765301,126.257971
아산아스콘(주),충청남도 아산시 염치읍 신수리길 40 ,36.840074,126.97024
신양산업개발(주),충청북도 청주시 청원구 오창읍 후기길 50-42,36.733311,127.389537
옥천아스콘(주),충청북도 옥천군 이원면 건진2길 49 ,36.251922,127.619771
(주)공단레미콘아스콘,충청북도 청주시 흥덕구 강내면 저산태성로 166,36.570662,127.35382
우진환경개발(주),충청북도 청주시 청원구 북이면 의암로 298,36.759892,127.559188
(합)해룡,충청북도 청주시 서원구 현도면 죽암도원로 119-23,36.528251,127.444229
서일아스콘(주),충청북도 청주시 서원구 남이면 저산척북로 528,36.565552,127.412453
(주)대아산업,충청북도 진천군 문백면 송강로 180 ,36.772584,127.41409
우리도시산업(주),충청북도 청주시 서원구 남이면 저산척북로 576-26,36.565997,127.418647
성광아스콘(주),충청북도 청주시 청원구 북이면 의암로 278-33,36.756476,127.564493
보은아스콘(주),충청북도 보은군 보은읍 둔덕수정로 350 ,36.463732,127.721899
석광아스콘(주),충청북도 청주시 청원구 내수읍 내수2길 43-19,36.718091,127.521748
태창산업(주),충청북도 음성군 감곡면 영산로 462 ,37.09566,127.6409
금성개발(주),충청북도 진천군 문백면 문진로 586 ,36.792165,127.436699
대동산업(주),충청북도 영동군 황간면 영동황간로 998 ,36.193375,127.861639
(주)일양,충청북도 영동군 심천면 난계로 231-105 ,36.216899,127.69432
부경아스콘(주),충청북도 진천군 이월면 진안로 456 ,36.956785,127.394701
옥산아스콘(주),충청북도 청주시 흥덕구 옥산면 국사오산로 589-20,36.676123,127.364956
제일산업(주),충청북도 단양군 매포읍 영천3길 124 ,37.061363,128.313035
(주)아원,충청북도 제천시 의병대로 713 (두학동) ,37.132354,128.274926
정안산업(주),충청북도 충주시 살미면 문강로 202 ,36.901739,127.951902
대한아스콘(주),충청북도 영동군 용산면 남부로 1332 ,36.277782,127.821503
흥진산업(주),충청북도 진천군 진천읍 상신2길 151 ,36.866851,127.464918
대성개발(주),충청북도 청주시 흥덕구 옥산면 국사오산로 468,36.678872,127.353096
(주)한일아스콘,충청북도 제천시 봉양읍 국사봉로 56 ,37.129353,128.102303
(주)창조아스콘,충청북도 음성군 감곡면 영산로 398 ,37.092716,127.646566
(주)대흥아스콘개발,충청북도 충주시 중앙탑면 감노로 2230 ,37.033224,127.838827
(자)효신아스콘,충청북도 단양군 가곡면 고수재로 465 ,37.01348,128.385001
(주)청주아스콘,충청북도 괴산군 청천면 괴산로 1594 ,36.668903,127.714925
대진아스콘(주),충청북도 옥천군 이원면 건진2길 53 ,36.252228,127.621632
충주아스콘(주),충청북도 충주시 하풍1길 36 (풍동) ,36.93979,127.904295
(주)대신아스콘,"충청북도 제천시 송학면 송학주천로 9길 3, A동",37.190653,128.24004
익산건설(주),충청북도 청주시 흥덕구 옥산면 환희2길 50-17,36.678678,127.362846
(주)성안,충청북도 음성군 금왕읍 덕금로 809 ,36.959592,127.580379
서경아스콘(주) 충주지점,충청북도 충주시 앙성면 가곡로 1831 (능암리),37.08094,127.833605
(주)원클린,경기도 이천시 부발읍 부발중앙로 85 ,37.277471,127.491995
(주)건영아스콘,충청남도 부여군 석성면 금백로 166-11 ,36.223755,127.000549
(주)하나에너지,전북특별자치도 군산시 군산산단로 143-48 (비응도동) ,35.9572,126.535814
(주)성지,경상남도 합천군 용주면 합천호수로 947-86 ,35.548005,128.096541
신성아스콘(주),충청북도 청주시 청원구 오창읍 후기길 50-46,36.733366,127.390204
(주)삼성산업,경상남도 통영시 광도면 은황길 386-38 ,34.961267,128.396132
(주)태강,경상남도 함안군 칠서면 함의로 309 ,35.308479,128.478899
호남산업(주) 호남아스콘,전라남도 광양시 장길로 42 (황금동) ,34.919711,127.619005
(주)강동알엔에이(R&A),전라남도 함평군 함평읍 함영로 1685-50 ,35.112739,126.488019
현대환경(주),경기도 여주시 가남읍 대신리길 213 ,37.181149,127.535603
미래개발(주),경상북도 경주시 강동면 강동산단로 103 ,35.954551,129.308098
(주)유한아스콘 경주공장,경상북도 경주시 강동면 강동산단로 31 ,35.957217,129.315625
(주)석준,충청남도 당진시 석문면 산단8로 485 ,37.012107,126.558415
(주)삼원아스콘,경상남도 김해시 주촌면 서부로1541번안길 50-24 ,35.237655,128.810954
경원산업(주),전라남도 영광군 영광읍 군서로 390 ,35.279915,126.482046
(주)대유산업,경상북도 경주시 천북면 신당리 1228-3 ,35.903973,129.243021
(주)시경아스콘,전라남도 여수시 진달래길 36 (중흥동) ,34.837749,127.697804
(주)남평산업,경상남도 거제시 연초면 연하해안로 601-20 ,34.92205,128.614863
(주)우제산업,경상남도 함안군 대산면 평림1길 132-24 ,35.33042,128.450096
(주)케이알아스콘,충청남도 당진시 석문면 산단8로 471 ,37.01219,126.559998
(주)한결아스콘,경기도 화성시 효행구 정남면 서봉로 757,37.143205,126.9581
(주)수경,경상남도 창원시 진해구 남영로574번길 8 ,35.120918,128.782624
(주)대흥환경산업,경상북도 안동시 남선면 충효로 4147-19 ,36.529037,128.74628
(유)협성,전북특별자치도 군산시 외항로 905-11(오식도동)  ,35.95395,126.574255
(주)한마음아스콘,경상북도 고령군 쌍림면 방아실길 73 ,35.693128,128.240361
연산아스콘(주),충청남도 논산시 부적면 감곡1길 38-29 ,36.207036,127.173089
정민종합산업(주),경상북도 봉화군 봉화읍 농업인길 86-105 ,36.899356,128.765524
성원아스콘(주),경상북도 안동시 풍산읍 풍산태사로 1624 ,36.567699,128.620291
하나케이(주),경기도 이천시 대월면 양녕로 57 ,37.17976,127.499578
(주)누보켐검단,인천광역시 서구 도담로 142  ,37.587485,126.615682
(주)호성,경기도 포천시 가산면 가산로267번길 25 ,37.844209,127.177906
(주)부영개발,부산광역시 사하구 보덕포1길 56 (장림동) ,35.07248,128.960332
우광산업(주),경상북도 포항시 북구 흥해읍 동해대로 1954번길 23-20,36.149418,129.350092
(주)퀸,강원특별자치도 원주시 문막읍 문막공단길 266 ,37.30122,127.808855
(주)에스비산업,경상남도 창원시 진해구 명제로 26 ,35.112502,128.72013
(주)세움아스콘,전라남도 구례군 간전면 간전농공단지길 46184 ,35.17996,127.537621
