업체명,주소,위도,경도
(주)성심레미콘,강원도 양양군 서면 곰밭길 116-39,38.063305,128.598192
제일산업주식회사,강원도 홍천군 홍천읍 설악로 1238,37.664623,127.847292
(주)동양/건재부문 삼척공장,강원도 삼척시 삼척항길 13(정상동),37.432577,129.182703
주식회사 성창레미콘,강원도 강릉시 연곡면 진고개로 2411-29,37.852053,128.801037
(주)삼양레미콘,강원특별자치도 강릉시 강동면 임곡로 102-16,37.720264,128.977884
(주)대영산업,강원도 정선군 임계면 백두대간로 1099,37.474152,128.848899
태경산업(주),강원도 평창군 대관령면 경강로 4867-3,37.687099,128.663024
주식회사 철원레미콘산업,강원도 철원군 갈말읍 윗삼성길 59,38.171839,127.317335
동화레미콘주식회사,강원도 횡성군 우천면 경강로 3930,37.490507,128.153239
덕영산업(주),강원도 화천군 하남면 춘화로 3174-21,38.085407,127.694996
주식회사 퀸글로벌,강원도 원주시 흥업면 승안동길 93-17,37.312914,127.890403
(자)광진레미콘,강원도 삼척시 원덕읍 삼척로 1359-15,37.246016,129.335608
강원레미콘(주),강원도 춘천시 동산면 원무동길 51,37.767444,127.77177
(주)대우레미콘,강원도 태백시 솔안길 85(통동),37.160801,129.028137
쌍용레미콘(주)춘천사업소,강원특별자치도 춘천시 영서로 2497(근화동),37.882542,127.710885
삼광레미콘아스콘 주식회사,강원특별자치도 홍천군 홍천읍 옥류동길 123-27,37.635905,127.896538
(자)삼성레미콘,강원도 영월군 북면 강구길 16,37.226344,128.420912
(합자)성창레미콘,강원특별자치도 동해시 추암공단1로 6(추암동),37.468461,129.144178
일진산업(주),강원도 횡성군 공근면 영서로 680,37.570968,127.948312
강화기업(주),강원도 원주시 지정면 지정로 331-26,37.35902,127.836657
신우레미콘(주),강원도 춘천시 동산면 종자리로 515,37.762611,127.75766
(주)부강레미콘,강원도 강릉시 강동면 아래장작골길 47-7,37.719209,128.967302
동서레미콘(주),강원도 춘천시 신동면 김유정로 791,37.774693,127.713081
(주)창조아스콘 원주레미콘공장,강원도 원주시 지정면 질마재로 95,37.350854,127.87321
동서진흥(주),강원도 춘천시 남산면 둔일길 49-5,37.775498,127.63781
동해콘크리트산업(주),강원도 강릉시 강변로 632(입암동),37.768508,128.927638
(주)양양레미콘,강원 양양군 서면  들돌길 449번지(장승리 462-1),38.093496,128.556112
태산레미콘,강원도 인제군 북면 금강로 332,38.146681,128.211087
효성레미콘(주),강원특별자치도 영월군 산솔면 태백산로 147-8 외 1필지,37.187434,128.6262
(주)삼광레미콘,강원특별자치도 홍천군 서석면 구룡령로 3326,37.70651,128.258782
(합)현대산업,강원도 동해시 대동로 161-4,37.486125,129.123096
대안레미콘(주),강원 강릉시 옥계면 산계길 80,37.598556,129.021521
강원산업㈜,강원도 철원군 김화읍 외골길 17-42,38.247997,127.409853
(주)동해산업,강원도 양양군 강현면 동해대로 3193-19,38.123854,128.618551
삼광기업(주),강원특별자치도 홍천군 북방면 송학정로 34-29,37.682649,127.862374
(주)동방레미콘,강원도 원주시 지정면 조엄로 195,37.359631,127.859183
(주)동양레미콘산업,강원도 철원군 갈말읍 숙소골길 23,38.183477,127.358581
(주)동양/건재부문 원주공장,강원도 원주시 흥업면 사제로 281,37.317525,127.895903
